name,original_price,sale_price,percent_off,color,reviews,rating
Xiaomi Watch S1 Active Blue,147.95,118.95,19.6,Blue,16,9.1
Garmin Venu Silver/Blue,219.95,197.95,10.0,Silver/Blue,2,9.8
Huami Amazfit GTR 3 Grey,149.9,103.95,30.7,Grey,3,9.0
Samsung Galaxy Watch 5 44mm Silver (White Silicon Strap),329.0,243.95,25.9,Strap),4,7.8
Samsung Galaxy Watch 5 44Mm Blue (Blue Silicon Strap),329.0,243.95,25.9,Strap),2,7.0
Huawei Watch GT 3 46mm Silver,218.95,212.95,2.7,Silver,39,9.6
Huawei Watch GT Runner Grey,159.95,156.95,1.9,Grey,2,9.3
Huami Amazfit GTS 3 Rose Gold,149.9,103.95,30.7,Gold,7,9.4
Huawei Watch GT 3 Pro 43mm White/Leather Strap,349.95,316.95,9.4,Strap,1,9.5
Huami Amazfit GTR 3 Black,149.9,103.95,30.7,Black,19,9.0
Xiaomi Watch S1 Active White,133.95,114.95,14.2,White,6,9.2
Xplora X5 Play Pink,128.95,121.95,5.4,Pink,3,9.0
Huawei Watch Fit 2 Active Blue,136.95,110.95,19.0,Blue,3,9.2
Garmin Vivoactive 4S Silver/Grey,237.95,207.95,12.6,Silver/Grey,8,8.8
Samsung Galaxy Watch 4 Classic 46mm Black,229.95,177.95,22.6,Black,345,8.7
Samsung Galaxy Watch 4 44mm Black,154.95,136.95,11.6,Black,243,8.6
Apple Watch SE V3 44mm Black (Black Silicon Strap),,329.95,,Strap),1,7.0
Apple Watch SE V2 44mm Black/Black Strap,288.95,271.95,5.9,Strap,31,9.2
Huawei Watch GT 3 Pro 46mm Silver/Leather Strap,314.95,286.95,8.9,Strap,7,9.7
Huawei Watch GT 3 Pro 46Mm Silver/Titanium Strap,428.95,375.95,12.4,Strap,27,9.3
Samsung Galaxy Watch 4 44mm Silver,154.95,136.95,11.6,Silver,126,9.0
Garmin Venu Rose Gold/Beige,232.95,197.95,15.0,Gold/Beige,7,8.9
Huami Amazfit GTS 3 Black,149.9,103.95,30.7,Black,29,9.0
Huawei Watch GT 3 Pro 46mm Silver/Rubber Strap,307.95,281.95,8.4,Strap,34,9.6
Samsung Galaxy Watch 4 44mm Green,154.95,136.95,11.6,Green,86,8.7
Huawei Watch GT 3 46mm Brown,199.95,177.95,11.0,Brown,26,9.0
Garmin Venu Black,239.95,197.95,17.5,Black,4,9.3
Huawei Watch GT 3 42mm White,186.95,177.95,4.8,White,45,9.4
Samsung Galaxy Watch 4 Classic 46mm Silver,229.95,177.95,22.6,Silver,161,8.7
Samsung Galaxy Tab A8 WiFi + 4G 128GB Grey,319.0,286.0,10.3,Grey,50,8.3
Samsung Galaxy Tab S8 WiFi X700 128GB Silver,649.0,574.0,11.6,Silver,24,8.9
Samsung Galaxy Tab A8 WiFi + 4G 32GB X205 Grey,239.0,227.0,5.0,Grey,50,8.3
Samsung Galaxy Tab S8+ WiFi 128GB X800 Silver,839.0,772.0,8.0,Silver,21,9.0
Samsung Galaxy Tab A8 WiFi 32GB Silver,199.0,177.0,11.1,Silver,276,8.6
Samsung Galaxy Tab S8 WiFi + 5G X706 128GB Grey,779.0,713.0,8.5,Grey,7,8.8
Samsung Galaxy Tab A8 WiFi 32GB Pink,199.0,177.0,11.1,Pink,276,8.6
Samsung Galaxy Tab S8+ WiFi 128GB X800 Rose Gold,839.0,772.0,8.0,Gold,21,9.0
Apple iPad 2021 WiFi 64GB Black,379.0,362.0,4.5,Black,605,9.1
Apple iPad 2021 WiFi 64GB Silver,379.0,362.0,4.5,Silver,605,9.1
Samsung Galaxy Tab A8 WiFi 128GB Gray,259.0,237.0,8.5,Gray,276,8.6
Samsung Galaxy Tab A8 WiFi 64GB Grey,219.0,197.0,10.0,Grey,276,8.6
Samsung Galaxy Tab S8 Ultra WiFi X900 128GB Black,949.0,891.0,6.1,Black,15,9.4
Samsung Galaxy Tab S8 WiFi X700 256GB Grey,709.0,623.0,12.1,Grey,24,8.9
Samsung Galaxy Tab S8 WiFi X700 128GB Grey,649.0,574.0,11.6,Grey,24,8.9
Samsung Galaxy Tab S8 WiFi X700 128GB Rose Gold,649.0,574.0,11.6,Gold,24,8.9
Samsung Galaxy Tab A8 WiFi 32GB Grey,199.0,177.0,11.1,Grey,276,8.6
Samsung Galaxy Tab A8 WiFi + 4G 64GB Grey,265.0,246.0,7.2,Grey,50,8.3
Samsung Galaxy Tab A8 WiFi 64GB Pink,219.0,197.0,10.0,Pink,276,8.6
Samsung Galaxy Tab S8 Ultra WiFi X900 512GB Black,1199.0,1149.0,4.2,Black,15,9.4
Samsung Galaxy Tab A8 WiFi 64GB Silver,219.0,197.0,10.0,Silver,276,8.6
Samsung Galaxy Tab S8 Ultra WiFi + 5G X906 128GB Black,1099.0,1035.0,5.8,Black,10,9.3
Samsung Galaxy Tab S8+ WiFi 128GB X800 Grey,839.0,772.0,8.0,Grey,21,9.0
Crosscall Core-X4 3GB/32GB Black,409.0,326.0,20.3,Black,1,10.0
